,Question,Model,Variable,coef,pval,std err,z,lower CI (0.025),upper CI (0.975),significant
1748,Q6B,LLM Delta,GENDER_diversity,   -1.3637,0.022,    0.597,   -2.284,   -2.534,   -0.193,True
1760,Q6C,Human Delta,EDUCATION_No_HS_diploma,   -0.8568,0.031,    0.397,   -2.156,   -1.635,   -0.078,True
1780,Q6C,LLM Delta,RACE_White_non_Hispanic,    0.9299,0.016,    0.385,    2.415,    0.175,    1.684,True
1783,Q6C,LLM Delta,AGEBRACKET_60plus,    0.3682,0.049,    0.187,    1.969,    0.002,    0.735,True
1791,Q6C,LLM Delta,RACE_majority,   -0.5362,0.046,    0.269,   -1.996,   -1.063,   -0.010,True
1805,Q6D,Human Delta,RACE_White_non_Hispanic,    0.8701,0.042,    0.428,    2.034,    0.032,    1.709,True
1813,Q6D,Human Delta,PARTYBEFORE_Republican,    0.2784,0.027,    0.126,    2.211,    0.032,    0.525,True
1816,Q6D,Human Delta,RACE_majority,   -0.8750,0.0,    0.224,   -3.908,   -1.314,   -0.436,True
1819,Q6D,Human Delta,EDUCATION_diversity,   -1.1910,0.002,    0.383,   -3.108,   -1.942,   -0.440,True
1822,Q6D,Human Delta,PARTYBEFORE_majority,    0.1892,0.035,    0.090,    2.106,    0.013,    0.365,True
1833,Q6D,LLM Delta,AGEBRACKET_60plus,   -0.3538,0.027,    0.160,   -2.206,   -0.668,   -0.040,True
1838,Q6D,LLM Delta,PARTYBEFORE_Republican,    0.5146,0.0,    0.135,    3.821,    0.251,    0.779,True
1841,Q6D,LLM Delta,RACE_majority,   -0.5033,0.042,    0.248,   -2.030,   -0.989,   -0.017,True
1855,Q6E,Human Delta,RACE_White_non_Hispanic,    1.0042,0.008,    0.378,    2.654,    0.263,    1.746,True
1866,Q6E,Human Delta,RACE_majority,   -0.4346,0.027,    0.197,   -2.205,   -0.821,   -0.048,True
1875,Q6E,LLM Delta,Intercept,    1.6536,0.013,    0.665,    2.486,    0.350,    2.957,True
1893,Q6E,LLM Delta,AGEBRACKET_majority,   -0.2332,0.048,    0.118,   -1.974,   -0.465,   -0.002,True
1898,Q6E,LLM Delta,GENDER_diversity,   -2.8736,0.001,    0.834,   -3.447,   -4.507,   -1.240,True
1900,Q6F,Human Delta,Intercept,   -1.6345,0.029,    0.749,   -2.182,   -3.103,   -0.166,True
1901,Q6F,Human Delta,RACE_Asian_non_Hispanic,    0.8389,0.042,    0.413,    2.033,    0.030,    1.647,True
1905,Q6F,Human Delta,RACE_White_non_Hispanic,    1.4257,0.004,    0.490,    2.910,    0.465,    2.386,True
1918,Q6F,Human Delta,AGEBRACKET_majority,    0.1886,0.046,    0.094,    1.997,    0.004,    0.374,True
1926,Q6F,LLM Delta,RACE_Asian_non_Hispanic,    0.7564,0.019,    0.323,    2.345,    0.124,    1.389,True
1928,Q6F,LLM Delta,RACE_Hispanic,    0.7473,0.019,    0.319,    2.340,    0.121,    1.373,True
1930,Q6F,LLM Delta,RACE_White_non_Hispanic,    0.9410,0.003,    0.316,    2.974,    0.321,    1.561,True
1938,Q6F,LLM Delta,PARTYBEFORE_Republican,    0.8350,0.0,    0.124,    6.723,    0.592,    1.078,True
1946,Q6F,LLM Delta,PARTYBEFORE_diversity,    1.2217,0.036,    0.583,    2.097,    0.080,    2.364,True
1948,Q6F,LLM Delta,GENDER_diversity,   -1.8375,0.028,    0.839,   -2.190,   -3.482,   -0.193,True
1949,Q6F,LLM Delta,GENDER_majority,    0.2178,0.02,    0.094,    2.319,    0.034,    0.402,True
1963,Q6G,Human Delta,PARTYBEFORE_Republican,    0.3670,0.031,    0.170,    2.158,    0.034,    0.700,True
1966,Q6G,Human Delta,RACE_majority,    0.5226,0.018,    0.221,    2.362,    0.089,    0.956,True
1967,Q6G,Human Delta,AGEBRACKET_diversity,    1.3826,0.033,    0.647,    2.138,    0.115,    2.650,True
1981,Q6G,LLM Delta,AGEBRACKET_30_44,   -0.3129,0.014,    0.127,   -2.468,   -0.561,   -0.064,True
1982,Q6G,LLM Delta,AGEBRACKET_45_59,   -0.2329,0.049,    0.118,   -1.972,   -0.464,   -0.001,True
1983,Q6G,LLM Delta,AGEBRACKET_60plus,   -0.4163,0.0,    0.110,   -3.773,   -0.633,   -0.200,True
1987,Q6G,LLM Delta,PARTYBEFORE_Independent,   -0.3269,0.0,    0.085,   -3.850,   -0.493,   -0.160,True
1994,Q6G,LLM Delta,EDUCATION_diversity,   -1.2081,0.03,    0.558,   -2.165,   -2.302,   -0.114,True
2001,Q6H,Human Delta,RACE_Asian_non_Hispanic,    0.7156,0.028,    0.325,    2.199,    0.078,    1.353,True
2014,Q6H,Human Delta,GENDER_Male,    0.2141,0.017,    0.090,    2.388,    0.038,    0.390,True
2027,Q6H,LLM Delta,RACE_Black_non_Hispanic,    0.5907,0.034,    0.278,    2.122,    0.045,    1.136,True
2041,Q6H,LLM Delta,RACE_majority,    0.5778,0.001,    0.169,    3.409,    0.246,    0.910,True
2056,Q6I,Human Delta,AGEBRACKET_30_44,   -0.3106,0.043,    0.153,   -2.028,   -0.611,   -0.010,True
2060,Q6I,Human Delta,EDUCATION_No_HS_diploma,   -1.2137,0.01,    0.471,   -2.579,   -2.136,   -0.291,True
2063,Q6I,Human Delta,PARTYBEFORE_Republican,    0.3337,0.013,    0.134,    2.487,    0.071,    0.597,True
2067,Q6I,Human Delta,AGEBRACKET_diversity,   -1.2549,0.033,    0.590,   -2.127,   -2.411,   -0.098,True
2087,Q6I,LLM Delta,PARTYBEFORE_Independent,    0.3858,0.0,    0.098,    3.939,    0.194,    0.578,True
2088,Q6I,LLM Delta,PARTYBEFORE_Republican,    0.9450,0.0,    0.136,    6.955,    0.679,    1.211,True
2101,Q6J,Human Delta,RACE_Asian_non_Hispanic,    0.4970,0.049,    0.252,    1.971,    0.003,    0.991,True
2123,Q6J,Human Delta,GENDER_diversity,   -1.6171,0.027,    0.730,   -2.215,   -3.048,   -0.186,True
2138,Q6J,LLM Delta,PARTYBEFORE_Republican,    0.5054,0.001,    0.147,    3.437,    0.217,    0.794,True
2148,Q6J,LLM Delta,GENDER_diversity,   -1.9916,0.01,    0.776,   -2.565,   -3.513,   -0.470,True
